idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
2980	0.99114287	0.982	0.9884	0.98142856	0.9813333	0.9814	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9734513, 0.85714287]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95652175, 0.85294116]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.996, 0.968, 0.856]	0.88344	0.014862955
2990	0.9994286	0.98733336	0.9958	0.98142856	0.97866666	0.9806	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9710145, 0.9380531, 0.9120879]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9068323, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.98, 0.928, 0.902]	0.8524399	0.021795869
3000	0.99885714	0.98333335	0.9942	0.9837143	0.9813333	0.983	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9652174, 0.96755165, 0.9120879]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9870968, 0.94409937, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.972, 0.96, 0.902]	0.7869377	0.014084399
3010	0.99	0.982	0.9876	0.98142856	0.9813333	0.9814	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.96755165, 0.86263734]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95652175, 0.85294116]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.996, 0.964, 0.86]	0.8418255	0.014021158
3020	0.97828573	0.952	0.9704	0.9505714	0.9433333	0.9484	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.6231884, 0.9321534, 0.9505494]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.6516129, 0.8509317, 0.9558824]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.632, 0.906, 0.952]	0.82302666	0.02399379
3030	0.9994286	0.9813333	0.994	0.98142856	0.97866666	0.9806	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.95652175, 0.9557522, 0.9093407]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9870968, 0.91925466, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.996, 0.966, 0.944, 0.902]	0.8395481	0.015090823
3040	0.9977143	0.9866667	0.9944	0.9834286	0.982	0.983	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9681159, 0.96755165, 0.9065934]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9378882, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.978, 0.958, 0.898]	0.8709488	0.013029695
3050	0.9982857	0.98333335	0.9938	0.9802857	0.9766667	0.9792	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9449275, 0.95280236, 0.9120879]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9741936, 0.9130435, 0.88235295]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.954, 0.94, 0.904]	0.78946495	0.021724343
3060	0.9965714	0.98866665	0.9942	0.982	0.97866666	0.981	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.9439528, 0.8956044]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.91925466, 0.86764705]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.992, 0.936, 0.888]	0.85159874	0.022255957
3070	0.9974286	0.98933333	0.995	0.98	0.976	0.9788	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.98550725, 0.92330384, 0.89835167]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8757764, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.99, 0.908, 0.894]	0.8426037	0.0229702
3080	0.9982857	0.984	0.994	0.984	0.9813333	0.9832	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9710145, 0.96755165, 0.9093407]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.94409937, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.978, 0.96, 0.898]	0.8009453	0.013476074
3090	0.99542856	0.986	0.9926	0.98	0.974	0.9782	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.92330384, 0.89285713]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8695652, 0.875]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.994, 0.906, 0.888]	0.7383518	0.024850786
3100	0.99885714	0.98466665	0.9946	0.98228574	0.98333335	0.9826	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9449275, 0.9734513, 0.9120879]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9870968, 0.9689441, 0.875]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.958, 0.972, 0.902]	0.7978554	0.015129328
3110	0.9994286	0.982	0.9942	0.9811429	0.9813333	0.9812	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.95652175, 0.95280236, 0.9093407]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9806452, 0.9503106, 0.88235295]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.964, 0.952, 0.902]	0.8056145	0.017600358
