idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
820	0.9382857	0.93	0.9358	0.7645714	0.772	0.7668	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6696165, 0.0054945056]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.6583851, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.666, 0.004]	0.007173373	0.00020097103
830	0.9294286	0.92	0.9266	0.7577143	0.76666665	0.7604	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5781711, 0.024725275]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.6086956, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.588, 0.018]	0.0072156936	0.00016861851
840	0.93714285	0.9293333	0.9348	0.7648571	0.7726667	0.7672	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6784661, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.66459626, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.674, 0.0]	0.0073665194	0.00018175482
850	0.9448571	0.9406667	0.9436	0.77257144	0.78	0.7748	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7581121, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.73913044, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 0.998, 0.752, 0.0]	0.007509427	0.00027117622
860	0.9497143	0.94533336	0.9484	0.776	0.782	0.7778	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7817109, 0.010989011]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9870968, 0.757764, 0.007352941]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 0.996, 0.774, 0.01]	0.0077423453	0.0002952856
870	0.9462857	0.938	0.9438	0.7674286	0.774	0.7694	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.70501477, 0.0054945056]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.67701864, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.994, 1.0, 0.696, 0.004]	0.00784795	0.00017032027
880	0.93685716	0.9293333	0.9346	0.7645714	0.77133334	0.7666	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.67256635, 0.0027472528]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.65217394, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.666, 0.002]	0.007825852	0.0002068379
890	0.9391429	0.9306667	0.9366	0.7705714	0.7733333	0.7714	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.63716817, 0.093406595]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.6273292, 0.05147059]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.634, 0.082]	0.008032973	0.00025764154
900	0.95114285	0.94733334	0.95	0.774	0.7826667	0.7766	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.77286136, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.76397514, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 0.998, 0.77, 0.0]	0.00806441	0.00020428444
910	0.9588571	0.95133334	0.9566	0.7785714	0.7866667	0.781	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.820059, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9806452, 0.8074534, 0.007352941]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 0.994, 0.816, 0.002]	0.008283773	0.00030364539
920	0.9517143	0.9486667	0.9508	0.7788572	0.78066665	0.7794	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7345133, 0.082417585]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.70186335, 0.04411765]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.724, 0.072]	0.0085209	0.00028061657
930	0.9497143	0.94666666	0.9488	0.7705714	0.77533334	0.772	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7345133, 0.0027472528]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.68944097, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.72, 0.002]	0.0085355835	0.00023202784
940	0.9448571	0.938	0.9428	0.7674286	0.7726667	0.769	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6342183, 0.06593407]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.6335404, 0.036764707]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.634, 0.058]	0.008658194	0.00022338843
950	0.9557143	0.95	0.954	0.772	0.7826667	0.7752	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7522124, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.757764, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.754, 0.0]	0.008642489	0.00016799453
960	0.9597143	0.95533335	0.9584	0.77742857	0.786	0.78	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8082596, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.7950311, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 0.998, 0.804, 0.0]	0.008839523	0.0003279203
970	0.9597143	0.954	0.958	0.7862857	0.794	0.7886	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.76106197, 0.13461539]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.76397514, 0.11764706]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.994, 1.0, 0.762, 0.13]	0.009132463	0.00034685596
980	0.9554286	0.954	0.955	0.77171427	0.778	0.7736	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7463127, 0.0027472528]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.71428573, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.736, 0.002]	0.009171332	0.00019892771
990	0.9488571	0.944	0.9474	0.76771426	0.77466667	0.7698	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7020649, 0.0054945056]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.67701864, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.694, 0.004]	0.009141011	0.00021938235
1000	0.9554286	0.95066667	0.954	0.7722857	0.77666664	0.7736	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.74336284, 0.010989011]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.70186335, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.73, 0.008]	0.0092749065	0.00025289878
1010	0.96342856	0.9586667	0.962	0.7757143	0.7866667	0.779	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7905605, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.7950311, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.792, 0.0]	0.0093254335	0.00025818404
1020	0.9657143	0.962	0.9646	0.782	0.79066664	0.7846	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.81710917, 0.035714287]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.8074534, 0.036764707]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 0.998, 0.814, 0.036]	0.009596518	0.00032720505
1030	0.95914286	0.956	0.9582	0.77742857	0.7813333	0.7786	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7463127, 0.057692308]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.71428573, 0.029411765]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.736, 0.05]	0.009754504	0.00025778217
1040	0.958	0.956	0.9574	0.7722857	0.78	0.7746	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7522124, 0.0027472528]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.72670805, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.744, 0.002]	0.009687269	0.00024096807
1050	0.95428574	0.948	0.9524	0.77685714	0.782	0.7784	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.67551625, 0.12087912]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6583851, 0.10294118]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.67, 0.116]	0.009899975	0.00026344042
1060	0.9662857	0.96066666	0.9646	0.7771429	0.788	0.7804	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8053097, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.8074534, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.806, 0.0]	0.009754862	0.00019297935
1070	0.96885717	0.964	0.9674	0.7802857	0.78866667	0.7828	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.82890856, 0.008241759]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.8136646, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.824, 0.006]	0.010001078	0.0003405311
1080	0.9645714	0.96	0.9632	0.7945714	0.7966667	0.7952	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.7581121, 0.21703297]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7453416, 0.16176471]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.996, 1.0, 0.754, 0.202]	0.0102930935	0.00033343933
1090	0.96685714	0.95933336	0.9646	0.77342856	0.786	0.7772	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7640118, 0.0027472528]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7826087, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.77, 0.002]	0.010279863	0.0002402491
1100	0.95714283	0.95266664	0.9558	0.7705714	0.778	0.7728	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.6932153, 0.043956045]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.67701864, 0.036764707]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.688, 0.042]	0.010331997	0.00021022
1110	0.96828574	0.96066666	0.966	0.7754286	0.7873333	0.779	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.78466076, 0.0027472528]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7950311, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.788, 0.002]	0.010300854	0.00022926368
1120	0.97057146	0.9633333	0.9684	0.7777143	0.78866667	0.781	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8082596, 0.0027472528]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8074534, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.808, 0.002]	0.010449737	0.00029805442
1130	0.97171426	0.96533334	0.9698	0.792	0.79733336	0.7936	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8023599, 0.1456044]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.80124223, 0.10294118]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.802, 0.134]	0.010732743	0.0003464364
1140	0.96685714	0.96	0.9648	0.77485716	0.78333336	0.7774	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7640118, 0.016483517]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7515528, 0.007352941]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.76, 0.014]	0.010769321	0.0002215216
1150	0.96514285	0.95933336	0.9634	0.77342856	0.7813333	0.7758	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.76106197, 0.0054945056]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.73913044, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.754, 0.004]	0.010676581	0.00022342848
1160	0.96342856	0.956	0.9612	0.78485715	0.78933334	0.7862	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.72861356, 0.1456044]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.70186335, 0.13235295]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.72, 0.142]	0.010914562	0.00026953965
1170	0.9711428	0.964	0.969	0.7814286	0.78933334	0.7838	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.85250735, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8136646, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.84, 0.0]	0.010763524	0.00025411788
1180	0.97485715	0.96933335	0.9732	0.79314286	0.794	0.7934	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8643068, 0.0989011]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8198758, 0.04411765]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.85, 0.084]	0.011027047	0.0003584195
1190	0.9702857	0.96066666	0.9674	0.79314286	0.79466665	0.7936	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.76696163, 0.19505495]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7515528, 0.13235295]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.996, 1.0, 0.762, 0.178]	0.011222963	0.00029571308
1200	0.9714286	0.964	0.9692	0.77685714	0.7866667	0.7798	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7905605, 0.010989011]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.78881985, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.79, 0.008]	0.011150272	0.00025598565
1210	0.9628571	0.95533335	0.9606	0.78085715	0.794	0.7848	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.69911504, 0.1401099]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.67701864, 0.21323529]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.996, 1.0, 0.692, 0.16]	0.011321345	0.00023182994
1220	0.9722857	0.964	0.9698	0.78085715	0.79	0.7836	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.8436578, 0.0027472528]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8198758, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.836, 0.002]	0.0111413915	0.00023376569
1230	0.97485715	0.968	0.9728	0.78485715	0.79066664	0.7866	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.83480823, 0.046703298]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8136646, 0.014705882]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.828, 0.038]	0.011303251	0.0003423337
1240	0.9742857	0.96666664	0.972	0.808	0.814	0.8098	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.7876106, 0.31868133]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7826087, 0.30882353]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.996, 1.0, 0.786, 0.316]	0.011602362	0.00034859683
1250	0.974	0.96466666	0.9712	0.7771429	0.7873333	0.7802	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7905605, 0.013736264]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.78881985, 0.007352941]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.79, 0.012]	0.011534822	0.00023974525
1260	0.9677143	0.95933336	0.9652	0.7745714	0.78333336	0.7772	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7581121, 0.01923077]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7453416, 0.014705882]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.754, 0.018]	0.011461114	0.00020345859
1270	0.97342855	0.96533334	0.971	0.78257143	0.79066664	0.785	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.78466076, 0.071428575]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7826087, 0.05147059]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.784, 0.066]	0.01157583	0.00026989402
1280	0.976	0.9673333	0.9734	0.78171426	0.79	0.7842	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8495575, 0.0027472528]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8198758, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.84, 0.002]	0.011537083	0.00028321333
1290	0.978	0.9686667	0.9752	0.8074286	0.81	0.8082	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.83480823, 0.26373628]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8198758, 0.22058824]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.83, 0.252]	0.011797983	0.00036364375
1300	0.9742857	0.96533334	0.9716	0.78514284	0.79466665	0.788	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.77286136, 0.10714286]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.757764, 0.125]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.768, 0.112]	0.011868675	0.00026557874
1310	0.97314286	0.96666664	0.9712	0.7777143	0.78866667	0.781	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.8053097, 0.008241759]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8074534, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.806, 0.006]	0.011736633	0.00024185143
1320	0.96914285	0.958	0.9658	0.79314286	0.804	0.7964	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.7079646, 0.25]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.68944097, 0.30882353]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.996, 1.0, 0.702, 0.266]	0.011967209	0.00026625767
1330	0.976	0.96933335	0.974	0.78342855	0.79333335	0.7864	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.87315637, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.9866667, 1.0, 1.0, 1.0, 0.863354, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.87, 0.0]	0.011782937	0.0002640374
1340	0.9785714	0.9726667	0.9768	0.798	0.8013333	0.799	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8613569, 0.14835165]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8385093, 0.10294118]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.854, 0.136]	0.011918691	0.00036243675
1350	0.97571427	0.9686667	0.9736	0.8125714	0.816	0.8136	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.7787611, 0.3708791]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.757764, 0.3602941]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.996, 1.0, 0.772, 0.368]	0.012169603	0.00033495948
1360	0.9771429	0.9673333	0.9742	0.78257143	0.792	0.7854	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.82890856, 0.032967035]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8136646, 0.029411765]	[1.0, 1.0, 0.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.824, 0.032]	0.012093198	0.00026615243
1370	0.97085714	0.96066666	0.9678	0.7797143	0.79333335	0.7838	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.73156345, 0.09615385]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7080745, 0.16911764]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.724, 0.116]	0.0121167265	0.00021496043
1380	0.978	0.96933335	0.9754	0.7837143	0.792	0.7862	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.8466077, 0.027472528]	[1.0, 1.0, 0.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 0.82608694, 0.022058824]	[1.0, 1.0, 0.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.84, 0.026]	0.012084251	0.0002680556
1390	0.978	0.96933335	0.9754	0.7868571	0.79466665	0.7892	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.85250735, 0.04945055]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.82608694, 0.04411765]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.844, 0.048]	0.012133649	0.00030432036
1400	0.98057145	0.96933335	0.9772	0.8162857	0.82266665	0.8182	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.82890856, 0.3543956]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8136646, 0.36764705]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.824, 0.358]	0.012332669	0.00035852613
1410	0.9768571	0.96666664	0.9738	0.78257143	0.79333335	0.7858	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.79941005, 0.057692308]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7763975, 0.0882353]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.792, 0.066]	0.01234674	0.00023753708
1420	0.976	0.9673333	0.9734	0.7788572	0.78866667	0.7818	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.8053097, 0.01923077]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.78881985, 0.022058824]	[1.0, 1.0, 0.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.8, 0.02]	0.012209169	0.00021461723
1430	0.97485715	0.96666664	0.9724	0.8017143	0.8106667	0.8044	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7463127, 0.2912088]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.73913044, 0.32352942]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.744, 0.3]	0.01240255	0.00028987974
1440	0.9777143	0.972	0.976	0.78485715	0.7926667	0.7872	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.8820059, 0.0054945056]	[1.0, 1.0, 0.0, 1.0, 0.98, 1.0, 1.0, 1.0, 0.863354, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.992, 1.0, 1.0, 1.0, 0.876, 0.004]	0.012264503	0.0002868278
1450	0.98228574	0.97533333	0.9802	0.8125714	0.8193333	0.8146	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.87315637, 0.2802198]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.863354, 0.2720588]	[1.0, 1.0, 0.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.87, 0.278]	0.012364403	0.00037412578
1460	0.978	0.96933335	0.9754	0.80457145	0.81266665	0.807	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.7758112, 0.29395604]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7515528, 0.33088234]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.768, 0.304]	0.012541782	0.0003034128
1470	0.97828573	0.97	0.9758	0.7862857	0.79866666	0.79	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.8377581, 0.06043956]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.82608694, 0.0882353]	[1.0, 1.0, 0.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.834, 0.068]	0.0124536045	0.00026143948
